ID_Expediente,CURP,RFC,Nombre,Apellido_Paterno,Apellido_Materno,Fecha_Nacimiento,Edad,Sexo_Biologico,Estado,Latitud,Longitud,Afiliacion_Salud,Numero_Seguridad_Social,Tipo_Servicio_Ingreso,Antecedentes_Familiares_Diabetes,Antecedentes_Familiares_Hipertension,Antecedentes_Familiares_Cancer,Antecedentes_Personales_Tabaquismo,Antecedentes_Personales_Alcoholismo,Alergias_Declaradas,Clasificacion_Triage,Presion_Sistolica_mmHg,Presion_Diastolica_mmHg,Frecuencia_Cardiaca_lpm,Frecuencia_Respiratoria_rpm,Temperatura_C,Saturacion_Oxigeno_SpO2,Estatura_cm,Peso_kg,IMC,Estado_Nutricional,CIE10_Diagnostico,Diagnostico_Principal,Sintoma_Principal,Tratamiento_Farmacologico,Medico_Tratante_Cedula,Fecha_Hora_Apertura_Expediente
EXP-2026-00001,MAGM931226HPLRRG05,MAGM931226I10,Miguel,Martínez,García,1993-12-26,32,MASCULINO,Puebla,20.021543,-97.538754,ISSSTE,94-80-45-1608,Pediatría,No,No,No,No,No,AINES (Aspirina/Ibuprofeno),Naranja / Urgencia,161,99,76,16,36.3,98,172.8,71.5,23.9,Normal,I10,Hipertensión Arterial Esencial,Cefalea holocraneal pulsátil y acúfenos,Losartán 50mg cada 12 hrs VO + Amlodipino 5mg cada 24 hrs VO,9027271,2026-03-03 06:57:04
EXP-2026-00002,RELF690520HPLYÓR04,RELF690520E63,Francisco,Reyes,López,1969-05-20,57,MASCULINO,Puebla,19.965044,-96.96439,ISSSTE,29-17-53-2546,Consulta General,Sí,Sí,Sí,No,No,AINES (Aspirina/Ibuprofeno),Amarillo / Valorable,121,82,106,19,39.2,97,169.5,89.5,31.2,Obesidad,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,3502118,2026-01-30 14:03:04
EXP-2026-00003,VUSJ390226MPLÁÁN01,VUSJ390226A43,Juana,Vázquez,Sánchez,1939-02-26,87,FEMENINO,Puebla,20.145269,-98.160471,IMSS-Bienestar,64-31-97-4154,Pediatría,No,Sí,No,No,Sí,Sulfonamidas,Verde / No Urgente,122,82,68,14,36.3,99,153.7,74.3,31.5,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,5101034,2026-03-31 05:12:04
EXP-2026-00004,RAMV850725MPLMRR06,RAMV850725T43,Verónica,Ramírez,Martínez,1985-07-25,41,FEMENINO,Puebla,18.035183,-97.523183,IMSS-Bienestar,92-15-44-9340,Consulta General,No,No,No,No,No,Ninguna,Amarillo / Valorable,119,78,98,22,38.4,99,157.0,62.0,25.2,Sobrepeso,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,8578419,2026-02-04 21:11:04
EXP-2026-00005,PERM700815MPLÉYR07,PERM700815178,Margarita,Pérez,Reyes,1970-08-15,55,FEMENINO,Puebla,19.457851,-97.730928,IMSS,68-97-18-4979,Consulta General,No,No,No,No,Sí,Penicilina,Verde / No Urgente,117,79,69,17,36.2,99,145.3,69.0,32.7,Obesidad,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,9245419,2026-06-06 03:22:04
EXP-2026-00006,ROGL520807MPLDNT03,ROGL520807G55,Leticia Guadalupe,Rodríguez,González,1952-08-07,73,FEMENINO,Puebla,19.28799,-98.071078,ISSSTEP,66-86-70-9874,Medicina Interna,No,No,No,No,Sí,Ninguna,Verde / No Urgente,121,79,75,16,36.3,99,172.1,96.3,32.5,Obesidad,N18.4,Insuficiencia Renal Crónica Estadío 4,"Edema de miembros inferiores, astenia y oliguria",Eritropoyetina 4000 UI SC semanal + Carbonato de Calcio 500mg con comidas,5639715,2026-05-27 21:15:04
EXP-2026-00007,VUMR800117HPLÁRC01,VUMR800117G46,Ricardo Carlos,Vázquez,Martínez,1980-01-17,46,MASCULINO,Puebla,20.293423,-96.839216,ISSSTE,93-88-35-1565,Medicina Interna,Sí,Sí,No,No,No,AINES (Aspirina/Ibuprofeno),Amarillo / Valorable,119,77,91,20,38.1,98,174.6,75.9,24.9,Normal,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,9674971,2026-01-18 13:58:04
EXP-2026-00008,CUGS090629MPLRÓF01,CUGS090629966,Sofia,Cruz,Gómez,2009-06-29,17,FEMENINO,Puebla,18.444716,-98.160479,IMSS-Bienestar,35-61-59-6898,Medicina Interna,No,No,No,No,No,Ninguna,Verde / No Urgente,116,80,69,14,36.5,99,147.7,62.4,28.6,Sobrepeso,E11,Diabetes Mellitus Tipo 2,"Poliuria, polidipsia y fatiga crónica",Metformina 850mg cada 12 hrs VO + Empagliflozina 10mg al día VO,9118668,2026-06-25 07:28:04
EXP-2026-00009,GEFR660526MPLÓLS05,GEFR660526D87,Rosa,Gómez,Flores,1966-05-26,60,FEMENINO,Puebla,19.281849,-98.318659,ISSSTEP,75-31-67-8116,Pediatría,No,No,No,No,Sí,Ninguna,Naranja / Urgencia,121,78,103,25,36.4,92,161.1,63.1,24.3,Normal,J45.9,Asma Bronquial Exacerbada,Disnea de medianos esfuerzos y sibilancias espiratorias bilaterales,Salbutamol 2 disparos cada 4 hrs en aerosol + Budesonida inhalada,5997799,2026-03-22 12:20:04
EXP-2026-00010,HEMM810817HPLRRN03,HEMM810817G47,Manuel,Hernández,Martínez,1981-08-17,44,MASCULINO,Puebla,18.105165,-97.599147,Particular,67-56-88-6019,Medicina Interna,No,No,Sí,No,Sí,Medio de Contraste Yodado,Amarillo / Valorable,122,78,109,20,38.3,99,170.5,67.0,23.0,Normal,N39.0,Infección de Vías Urinarias,"Disuria, tenesmo vesical y dolor suprapúbico",Nitrofurantoína 100mg cada 6 hrs VO por 7 días,4111222,2026-04-11 13:50:04
